"STATION","NAME","DATE","ACMH","ACSH","AWND","FMTM","PGTM","PRCP","PSUN","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF1","WDF2","WDF5","WDFG","WDFM","WESD","WSF1","WSF2","WSF5","WSFG","WSFM","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT10","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21","WT22"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1970-03-04","   70","   90",,," 1112","0.08","   92","0.0","2.0",,"35","25","  630",,,,"   45","   90","0.2",,,,"16.1","13.0","    1",,,,,"    1",,,,,,,,,"    1",,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1970-03-05","  100","  100",,," 1836","0.24","    0","0.0","1.0",,"38","33","    0",,,,"  360","  360",,,,,"18.3","12.1","    1",,,,,"    1",,"    1",,,,,,,"    1",,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1970-03-06","   70","   90",,," 0518","0.00","    6","0.0","0.0",,"38","31","   42",,,,"  360","  360",,,,,"24.2","17.0","    1",,,,,,,"    1",,,,,,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1970-03-07","   50","   50",,," 1436","0.00","   87","0.0","0.0",,"45","29","  600",,,,"  315","  270",,,,,"23.0","16.1",,,,,,,,,,,,,,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1970-03-08","   30","   10",,," 1100","0.00","   77","0.0","0.0",,"41","22","  534",,,,"  315","  270",,,,,"50.6","38.0",,,,,,,,,,,,,,,"    1",,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1970-03-09","    0","    0",,," 0018","0.00","  100","0.0","0.0",,"36","19","  696",,,,"  315","  270",,,,,"39.1","25.9",,,,,,,,,,,,,,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1970-03-10","   10","   20",,," 1454","0.00","   94","0.0","0.0",,"40","24","  654",,,,"  315","  270",,,,,"52.8","34.0",,,,,,,,,,,,,,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1970-03-11","   10","    0",,," 1006","0.00","   93","0.0","0.0",,"43","28","  654",,,,"  315","  270",,,,,"49.4","36.0",,,,,,,,,,,,,,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1970-03-12","   80","  100",,," 1042","0.00","   95","0.0","0.0",,"49","32","  672",,,,"  270","  270",,,,,"30.0","17.0",,,,,,,,,,,,,,,"    1",,"    1",,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1970-03-13","  100","  100",,," 1206","0.52","    0","1.0","0.0",,"43","33","    0",,,,"  360","  360",,,,,"34.4","23.0","    1",,,"    1",,,,,,,,,,,"    1",,"    1",,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1970-03-14","  100","  100",,," 2354","0.20","    7","1.9","1.0",,"36","33","   54",,,,"  270","  270",,,,,"24.2","16.1","    1",,,,,,,"    1",,,,,,,,,"    1",,,
